Team,League,Year,RA,W,OBP,SLG,BA,Playoffs,G,target
ANA,AL,2001.0,730.0,75.0,0.327,0.405,0.261,0,162,691.0
ARI,NL,2001.0,677.0,92.0,0.341,0.442,0.267,1,162,818.0
ATL,NL,2001.0,643.0,88.0,0.324,0.412,0.26,1,162,729.0
BAL,AL,2001.0,829.0,63.0,0.319,0.38,0.248,0,162,687.0
BOS,AL,2001.0,745.0,82.0,0.3339999999999999,0.439,0.266,0,161,772.0
CHC,NL,2001.0,701.0,88.0,0.336,0.43,0.261,0,162,777.0
CHW,AL,2001.0,795.0,83.0,0.3339999999999999,0.451,0.268,0,162,798.0
CIN,NL,2001.0,850.0,66.0,0.324,0.419,0.262,0,162,735.0
CLE,AL,2001.0,821.0,91.0,0.35,0.4579999999999999,0.278,1,162,897.0
COL,NL,2001.0,906.0,73.0,0.354,0.483,0.292,0,162,923.0
DET,AL,2001.0,876.0,66.0,0.32,0.409,0.26,0,162,724.0
FLA,NL,2001.0,744.0,76.0,0.326,0.423,0.264,0,162,742.0
HOU,NL,2001.0,769.0,93.0,0.347,0.451,0.271,1,162,847.0
KCR,AL,2001.0,858.0,65.0,0.318,0.409,0.266,0,162,729.0
LAD,NL,2001.0,744.0,86.0,0.3229999999999999,0.425,0.255,0,162,758.0
MIL,NL,2001.0,806.0,68.0,0.319,0.426,0.251,0,162,740.0
MIN,AL,2001.0,766.0,85.0,0.337,0.433,0.272,0,162,771.0
MON,NL,2001.0,812.0,68.0,0.319,0.396,0.253,0,162,670.0
NYM,NL,2001.0,713.0,82.0,0.3229999999999999,0.387,0.249,0,162,642.0
NYY,AL,2001.0,713.0,95.0,0.3339999999999999,0.435,0.267,1,161,804.0
OAK,AL,2001.0,645.0,102.0,0.345,0.439,0.264,1,162,884.0
PHI,NL,2001.0,719.0,86.0,0.3289999999999999,0.414,0.26,0,162,746.0
PIT,NL,2001.0,858.0,62.0,0.313,0.3929999999999999,0.247,0,162,657.0
SDP,NL,2001.0,812.0,79.0,0.336,0.3989999999999999,0.252,0,162,789.0
SEA,AL,2001.0,627.0,116.0,0.36,0.445,0.288,1,162,927.0
SFG,NL,2001.0,748.0,90.0,0.342,0.46,0.266,0,162,799.0
STL,NL,2001.0,684.0,93.0,0.3389999999999999,0.441,0.27,1,162,814.0
TBD,AL,2001.0,887.0,62.0,0.32,0.3879999999999999,0.258,0,162,672.0
TEX,AL,2001.0,968.0,73.0,0.344,0.471,0.275,0,162,890.0
TOR,AL,2001.0,753.0,80.0,0.325,0.43,0.263,0,162,767.0
ANA,AL,2000.0,869.0,82.0,0.352,0.472,0.28,0,162,864.0
ARI,NL,2000.0,754.0,85.0,0.3329999999999999,0.429,0.265,0,162,792.0
ATL,NL,2000.0,714.0,95.0,0.346,0.429,0.271,1,162,810.0
BAL,AL,2000.0,913.0,74.0,0.341,0.435,0.272,0,162,794.0
BOS,AL,2000.0,745.0,85.0,0.341,0.423,0.267,0,162,792.0
CHC,NL,2000.0,904.0,65.0,0.335,0.411,0.256,0,162,764.0
CHW,AL,2000.0,839.0,95.0,0.356,0.47,0.286,1,162,978.0
CIN,NL,2000.0,765.0,85.0,0.3429999999999999,0.447,0.2739999999999999,0,163,825.0
CLE,AL,2000.0,816.0,90.0,0.367,0.47,0.288,0,162,950.0
COL,NL,2000.0,897.0,82.0,0.362,0.455,0.294,0,162,968.0
DET,AL,2000.0,827.0,79.0,0.3429999999999999,0.4379999999999999,0.275,0,162,823.0
FLA,NL,2000.0,797.0,79.0,0.331,0.409,0.262,0,161,731.0
HOU,NL,2000.0,944.0,72.0,0.361,0.477,0.278,0,162,938.0
KCR,AL,2000.0,930.0,77.0,0.348,0.425,0.288,0,162,879.0
LAD,NL,2000.0,729.0,86.0,0.341,0.431,0.257,0,162,798.0
MIL,NL,2000.0,826.0,73.0,0.325,0.4029999999999999,0.246,0,163,740.0
MIN,AL,2000.0,880.0,69.0,0.337,0.407,0.27,0,162,748.0
MON,NL,2000.0,902.0,67.0,0.326,0.432,0.266,0,162,738.0
NYM,NL,2000.0,738.0,94.0,0.346,0.43,0.263,1,162,807.0
NYY,AL,2000.0,814.0,87.0,0.354,0.45,0.2769999999999999,1,161,871.0
OAK,AL,2000.0,813.0,91.0,0.36,0.4579999999999999,0.27,1,161,947.0
PHI,NL,2000.0,830.0,65.0,0.3289999999999999,0.4,0.251,0,162,708.0
PIT,NL,2000.0,888.0,69.0,0.3389999999999999,0.424,0.267,0,162,793.0
SDP,NL,2000.0,815.0,76.0,0.33,0.402,0.254,0,162,752.0
SEA,AL,2000.0,780.0,91.0,0.361,0.442,0.2689999999999999,1,162,907.0
SFG,NL,2000.0,747.0,97.0,0.362,0.472,0.278,1,162,925.0
STL,NL,2000.0,771.0,95.0,0.356,0.455,0.27,1,162,887.0
TBD,AL,2000.0,842.0,69.0,0.3289999999999999,0.3989999999999999,0.257,0,161,733.0
TEX,AL,2000.0,974.0,71.0,0.352,0.446,0.283,0,162,848.0
TOR,AL,2000.0,908.0,83.0,0.341,0.469,0.275,0,162,861.0
ANA,AL,1999.0,826.0,70.0,0.322,0.395,0.256,0,162,711.0
ARI,NL,1999.0,676.0,100.0,0.347,0.4589999999999999,0.2769999999999999,1,162,908.0
ATL,NL,1999.0,661.0,103.0,0.341,0.436,0.266,1,162,840.0
BAL,AL,1999.0,815.0,78.0,0.353,0.447,0.2789999999999999,0,162,851.0
BOS,AL,1999.0,718.0,94.0,0.35,0.4479999999999999,0.278,1,162,836.0
CHC,NL,1999.0,920.0,67.0,0.3289999999999999,0.42,0.257,0,162,747.0
CHW,AL,1999.0,870.0,75.0,0.337,0.429,0.2769999999999999,0,162,777.0
CIN,NL,1999.0,711.0,96.0,0.341,0.451,0.272,0,163,865.0
CLE,AL,1999.0,860.0,97.0,0.373,0.467,0.289,1,162,1009.0
COL,NL,1999.0,1028.0,72.0,0.348,0.472,0.288,0,162,906.0
DET,AL,1999.0,882.0,69.0,0.326,0.4429999999999999,0.261,0,161,747.0
FLA,NL,1999.0,852.0,64.0,0.325,0.395,0.263,0,162,691.0
HOU,NL,1999.0,675.0,97.0,0.355,0.42,0.267,1,162,823.0
KCR,AL,1999.0,921.0,64.0,0.348,0.433,0.282,0,161,856.0
LAD,NL,1999.0,787.0,77.0,0.3389999999999999,0.42,0.266,0,162,793.0
MIL,NL,1999.0,886.0,74.0,0.353,0.426,0.273,0,161,815.0
MIN,AL,1999.0,845.0,63.0,0.3279999999999999,0.384,0.264,0,161,686.0
MON,NL,1999.0,853.0,68.0,0.3229999999999999,0.427,0.265,0,162,718.0
NYM,NL,1999.0,711.0,97.0,0.363,0.434,0.2789999999999999,1,163,853.0
NYY,AL,1999.0,731.0,98.0,0.366,0.4529999999999999,0.282,1,162,900.0
OAK,AL,1999.0,846.0,87.0,0.355,0.446,0.259,0,162,893.0
PHI,NL,1999.0,846.0,77.0,0.351,0.431,0.275,0,162,841.0
PIT,NL,1999.0,782.0,78.0,0.3339999999999999,0.419,0.259,0,161,775.0
SDP,NL,1999.0,781.0,74.0,0.332,0.3929999999999999,0.252,0,162,710.0
SEA,AL,1999.0,905.0,79.0,0.3429999999999999,0.455,0.2689999999999999,0,162,859.0
SFG,NL,1999.0,831.0,86.0,0.356,0.434,0.271,0,162,872.0
STL,NL,1999.0,838.0,75.0,0.3379999999999999,0.426,0.262,0,161,809.0
TBD,AL,1999.0,913.0,69.0,0.3429999999999999,0.411,0.2739999999999999,0,162,772.0
TEX,AL,1999.0,859.0,95.0,0.361,0.479,0.293,1,162,945.0
TOR,AL,1999.0,862.0,84.0,0.352,0.457,0.28,0,162,883.0
ANA,AL,1998.0,783.0,85.0,0.335,0.415,0.272,0,162,787.0
ARI,NL,1998.0,812.0,65.0,0.314,0.3929999999999999,0.246,0,162,665.0
ATL,NL,1998.0,581.0,106.0,0.342,0.4529999999999999,0.272,1,162,826.0
BAL,AL,1998.0,785.0,79.0,0.347,0.447,0.273,0,162,817.0
BOS,AL,1998.0,729.0,92.0,0.348,0.4629999999999999,0.28,1,162,876.0
CHC,NL,1998.0,792.0,90.0,0.337,0.433,0.264,1,163,831.0
CHW,AL,1998.0,931.0,80.0,0.3389999999999999,0.444,0.271,0,163,861.0
CIN,NL,1998.0,760.0,77.0,0.337,0.402,0.262,0,162,750.0
CLE,AL,1998.0,779.0,89.0,0.347,0.4479999999999999,0.272,1,162,850.0
COL,NL,1998.0,855.0,77.0,0.347,0.461,0.291,0,162,826.0
DET,AL,1998.0,863.0,65.0,0.3229999999999999,0.415,0.264,0,162,722.0
FLA,NL,1998.0,923.0,54.0,0.317,0.373,0.248,0,162,667.0
HOU,NL,1998.0,620.0,102.0,0.356,0.436,0.28,1,162,874.0
KCR,AL,1998.0,899.0,72.0,0.324,0.3989999999999999,0.263,0,161,714.0
LAD,NL,1998.0,678.0,83.0,0.31,0.387,0.252,0,162,669.0
MIL,NL,1998.0,812.0,74.0,0.33,0.396,0.26,0,162,707.0
MIN,AL,1998.0,818.0,70.0,0.3279999999999999,0.389,0.266,0,162,734.0
MON,NL,1998.0,783.0,65.0,0.31,0.3939999999999999,0.249,0,162,644.0
NYM,NL,1998.0,645.0,88.0,0.33,0.3939999999999999,0.259,0,162,706.0
NYY,AL,1998.0,656.0,114.0,0.364,0.46,0.288,1,162,965.0
OAK,AL,1998.0,866.0,74.0,0.3379999999999999,0.397,0.257,0,162,804.0
PHI,NL,1998.0,808.0,75.0,0.326,0.395,0.264,0,162,713.0
PIT,NL,1998.0,718.0,69.0,0.311,0.374,0.254,0,163,650.0
SDP,NL,1998.0,635.0,98.0,0.33,0.409,0.253,1,162,749.0
SEA,AL,1998.0,855.0,76.0,0.345,0.4679999999999999,0.276,0,161,859.0
SFG,NL,1998.0,739.0,89.0,0.353,0.421,0.2739999999999999,0,163,845.0
STL,NL,1998.0,782.0,83.0,0.341,0.441,0.258,0,163,810.0
TBD,AL,1998.0,751.0,63.0,0.321,0.385,0.261,0,162,620.0
TEX,AL,1998.0,871.0,88.0,0.357,0.462,0.289,1,162,940.0
TOR,AL,1998.0,768.0,88.0,0.34,0.4479999999999999,0.266,0,163,816.0
ANA,AL,1997.0,794.0,84.0,0.346,0.416,0.272,0,162,829.0
ATL,NL,1997.0,581.0,101.0,0.3429999999999999,0.426,0.27,1,162,791.0
BAL,AL,1997.0,681.0,98.0,0.341,0.429,0.268,1,162,812.0
BOS,AL,1997.0,857.0,78.0,0.352,0.4629999999999999,0.291,0,162,851.0
CHC,NL,1997.0,759.0,68.0,0.321,0.396,0.263,0,162,687.0
CHW,AL,1997.0,833.0,80.0,0.341,0.417,0.273,0,161,779.0
CIN,NL,1997.0,764.0,76.0,0.321,0.389,0.253,0,162,651.0
CLE,AL,1997.0,815.0,86.0,0.358,0.467,0.286,1,161,868.0
COL,NL,1997.0,908.0,83.0,0.357,0.478,0.288,0,162,923.0
DET,AL,1997.0,790.0,79.0,0.332,0.415,0.258,0,162,784.0
FLA,NL,1997.0,669.0,92.0,0.346,0.395,0.259,1,162,740.0
HOU,NL,1997.0,660.0,84.0,0.344,0.4029999999999999,0.259,1,162,777.0
KCR,AL,1997.0,820.0,67.0,0.3329999999999999,0.407,0.264,0,161,747.0
LAD,NL,1997.0,645.0,88.0,0.33,0.418,0.268,0,162,742.0
MIL,AL,1997.0,742.0,78.0,0.325,0.3979999999999999,0.26,0,161,681.0
MIN,AL,1997.0,861.0,68.0,0.3329999999999999,0.409,0.27,0,162,772.0
MON,NL,1997.0,740.0,78.0,0.316,0.425,0.258,0,162,691.0
NYM,NL,1997.0,709.0,88.0,0.332,0.405,0.262,0,162,777.0
NYY,AL,1997.0,688.0,96.0,0.362,0.436,0.287,1,162,891.0
OAK,AL,1997.0,946.0,65.0,0.3389999999999999,0.423,0.26,0,162,764.0
PHI,NL,1997.0,840.0,68.0,0.322,0.385,0.255,0,162,668.0
PIT,NL,1997.0,760.0,79.0,0.3289999999999999,0.4039999999999999,0.262,0,162,725.0
SDP,NL,1997.0,891.0,76.0,0.342,0.407,0.271,0,162,795.0
SEA,AL,1997.0,833.0,90.0,0.355,0.485,0.28,1,162,925.0
SFG,NL,1997.0,793.0,90.0,0.337,0.414,0.258,1,162,784.0
STL,NL,1997.0,708.0,73.0,0.324,0.396,0.255,0,162,689.0
TEX,AL,1997.0,823.0,77.0,0.3339999999999999,0.4379999999999999,0.2739999999999999,0,162,807.0
TOR,AL,1997.0,694.0,76.0,0.31,0.389,0.244,0,162,654.0
ATL,NL,1996.0,648.0,96.0,0.3329999999999999,0.432,0.27,1,162,773.0
BAL,AL,1996.0,903.0,88.0,0.35,0.472,0.2739999999999999,1,163,949.0
BOS,AL,1996.0,921.0,85.0,0.359,0.457,0.283,0,162,928.0
CAL,AL,1996.0,943.0,70.0,0.3389999999999999,0.431,0.276,0,161,762.0
CHC,NL,1996.0,771.0,76.0,0.32,0.401,0.251,0,162,772.0
CHW,AL,1996.0,794.0,85.0,0.36,0.447,0.281,0,162,898.0
CIN,NL,1996.0,773.0,81.0,0.331,0.422,0.256,0,162,778.0
CLE,AL,1996.0,769.0,99.0,0.369,0.475,0.293,1,161,952.0
COL,NL,1996.0,964.0,83.0,0.355,0.472,0.287,0,162,961.0
DET,AL,1996.0,1103.0,53.0,0.3229999999999999,0.42,0.256,0,162,783.0
FLA,NL,1996.0,703.0,80.0,0.3289999999999999,0.3929999999999999,0.257,0,162,688.0
HOU,NL,1996.0,792.0,82.0,0.336,0.397,0.262,0,162,753.0
KCR,AL,1996.0,786.0,75.0,0.332,0.3979999999999999,0.267,0,161,746.0
LAD,NL,1996.0,652.0,90.0,0.316,0.384,0.252,1,162,703.0
MIL,AL,1996.0,899.0,80.0,0.353,0.441,0.2789999999999999,0,162,894.0
MIN,AL,1996.0,900.0,78.0,0.357,0.425,0.288,0,162,877.0
MON,NL,1996.0,668.0,88.0,0.327,0.406,0.262,0,162,741.0
NYM,NL,1996.0,779.0,71.0,0.324,0.412,0.27,0,162,746.0
NYY,AL,1996.0,787.0,92.0,0.36,0.436,0.288,1,162,871.0
OAK,AL,1996.0,900.0,78.0,0.344,0.452,0.265,0,162,861.0
PHI,NL,1996.0,790.0,67.0,0.325,0.387,0.256,0,162,650.0
PIT,NL,1996.0,833.0,73.0,0.3289999999999999,0.407,0.266,0,162,776.0
SDP,NL,1996.0,682.0,91.0,0.3379999999999999,0.402,0.265,1,162,771.0
SEA,AL,1996.0,895.0,85.0,0.366,0.484,0.287,0,161,993.0
SFG,NL,1996.0,862.0,68.0,0.331,0.3879999999999999,0.253,0,162,752.0
STL,NL,1996.0,706.0,88.0,0.33,0.407,0.267,1,162,759.0
TEX,AL,1996.0,799.0,90.0,0.358,0.469,0.284,1,163,928.0
TOR,AL,1996.0,809.0,74.0,0.331,0.42,0.259,0,162,766.0
ATL,NL,1993.0,559.0,104.0,0.331,0.408,0.262,1,162,767.0
BAL,AL,1993.0,745.0,85.0,0.346,0.413,0.267,0,162,786.0
BOS,AL,1993.0,698.0,80.0,0.33,0.395,0.264,0,162,686.0
CAL,AL,1993.0,770.0,71.0,0.331,0.38,0.26,0,162,684.0
CHC,NL,1993.0,739.0,84.0,0.325,0.414,0.27,0,163,738.0
CHW,AL,1993.0,664.0,94.0,0.3379999999999999,0.411,0.265,1,162,776.0
CIN,NL,1993.0,785.0,73.0,0.324,0.396,0.264,0,162,722.0
CLE,AL,1993.0,813.0,76.0,0.335,0.409,0.275,0,162,790.0
COL,NL,1993.0,967.0,67.0,0.3229999999999999,0.422,0.273,0,162,758.0
DET,AL,1993.0,837.0,85.0,0.362,0.434,0.275,0,162,899.0
FLA,NL,1993.0,724.0,64.0,0.314,0.346,0.248,0,162,581.0
HOU,NL,1993.0,630.0,85.0,0.33,0.409,0.267,0,162,716.0
KCR,AL,1993.0,694.0,84.0,0.32,0.397,0.263,0,162,675.0
LAD,NL,1993.0,662.0,81.0,0.321,0.3829999999999999,0.261,0,162,675.0
MIL,AL,1993.0,792.0,69.0,0.3279999999999999,0.3779999999999999,0.258,0,162,733.0
MIN,AL,1993.0,830.0,71.0,0.327,0.385,0.264,0,162,693.0
MON,NL,1993.0,682.0,94.0,0.326,0.386,0.257,0,163,732.0
NYM,NL,1993.0,744.0,59.0,0.305,0.39,0.248,0,162,672.0
NYY,AL,1993.0,761.0,88.0,0.353,0.435,0.2789999999999999,0,162,821.0
OAK,AL,1993.0,846.0,68.0,0.33,0.3939999999999999,0.254,0,162,715.0
PHI,NL,1993.0,740.0,97.0,0.351,0.426,0.2739999999999999,1,162,877.0
PIT,NL,1993.0,806.0,75.0,0.335,0.3929999999999999,0.267,0,162,707.0
SDP,NL,1993.0,772.0,61.0,0.312,0.389,0.252,0,162,679.0
SEA,AL,1993.0,731.0,82.0,0.3389999999999999,0.406,0.26,0,162,734.0
SFG,NL,1993.0,636.0,103.0,0.34,0.427,0.276,0,162,808.0
STL,NL,1993.0,744.0,87.0,0.341,0.395,0.272,0,162,758.0
TEX,AL,1993.0,751.0,86.0,0.3289999999999999,0.431,0.267,0,162,835.0
TOR,AL,1993.0,742.0,95.0,0.35,0.436,0.2789999999999999,1,162,847.0
ATL,NL,1992.0,569.0,98.0,0.316,0.3879999999999999,0.254,1,162,682.0
BAL,AL,1992.0,656.0,89.0,0.34,0.3979999999999999,0.259,0,162,705.0
BOS,AL,1992.0,669.0,73.0,0.321,0.347,0.246,0,162,599.0
CAL,AL,1992.0,671.0,72.0,0.301,0.3379999999999999,0.243,0,162,579.0
CHC,NL,1992.0,624.0,78.0,0.307,0.364,0.254,0,162,593.0
CHW,AL,1992.0,690.0,86.0,0.336,0.3829999999999999,0.261,0,162,738.0
CIN,NL,1992.0,609.0,90.0,0.3279999999999999,0.382,0.26,0,162,660.0
CLE,AL,1992.0,746.0,76.0,0.3229999999999999,0.3829999999999999,0.266,0,162,674.0
DET,AL,1992.0,794.0,75.0,0.337,0.407,0.256,0,162,791.0
HOU,NL,1992.0,668.0,81.0,0.313,0.359,0.246,0,162,608.0
KCR,AL,1992.0,667.0,72.0,0.315,0.364,0.256,0,162,610.0
LAD,NL,1992.0,636.0,63.0,0.313,0.3389999999999999,0.248,0,162,548.0
MIL,AL,1992.0,604.0,92.0,0.33,0.375,0.268,0,162,740.0
MIN,AL,1992.0,653.0,90.0,0.341,0.391,0.2769999999999999,0,162,747.0
MON,NL,1992.0,581.0,87.0,0.313,0.37,0.252,0,162,648.0
NYM,NL,1992.0,653.0,72.0,0.31,0.342,0.235,0,162,599.0
NYY,AL,1992.0,746.0,76.0,0.3279999999999999,0.406,0.261,0,162,733.0
OAK,AL,1992.0,672.0,96.0,0.346,0.386,0.258,1,162,745.0
PHI,NL,1992.0,717.0,70.0,0.32,0.377,0.253,0,162,686.0
PIT,NL,1992.0,595.0,96.0,0.324,0.381,0.255,1,162,693.0
SDP,NL,1992.0,636.0,82.0,0.313,0.386,0.255,0,162,617.0
SEA,AL,1992.0,799.0,64.0,0.3229999999999999,0.402,0.263,0,162,679.0
SFG,NL,1992.0,647.0,72.0,0.302,0.355,0.244,0,162,574.0
STL,NL,1992.0,604.0,83.0,0.3229999999999999,0.375,0.262,0,162,631.0
TEX,AL,1992.0,753.0,77.0,0.321,0.3929999999999999,0.25,0,162,682.0
TOR,AL,1992.0,682.0,96.0,0.3329999999999999,0.414,0.263,1,162,780.0
ATL,NL,1991.0,644.0,94.0,0.3279999999999999,0.3929999999999999,0.258,1,162,749.0
BAL,AL,1991.0,796.0,67.0,0.319,0.401,0.254,0,162,686.0
BOS,AL,1991.0,712.0,84.0,0.34,0.401,0.2689999999999999,0,162,731.0
CAL,AL,1991.0,649.0,81.0,0.314,0.374,0.255,0,162,653.0
CHC,NL,1991.0,734.0,77.0,0.309,0.39,0.253,0,160,695.0
CHW,AL,1991.0,681.0,87.0,0.336,0.391,0.262,0,162,758.0
CIN,NL,1991.0,691.0,74.0,0.32,0.4029999999999999,0.258,0,162,689.0
CLE,AL,1991.0,759.0,57.0,0.313,0.35,0.254,0,162,576.0
DET,AL,1991.0,794.0,84.0,0.3329999999999999,0.416,0.247,0,162,817.0
HOU,NL,1991.0,717.0,65.0,0.309,0.347,0.244,0,162,605.0
KCR,AL,1991.0,722.0,82.0,0.3279999999999999,0.3939999999999999,0.264,0,162,727.0
LAD,NL,1991.0,565.0,93.0,0.326,0.359,0.253,0,162,665.0
MIL,AL,1991.0,744.0,83.0,0.336,0.396,0.271,0,162,799.0
MIN,AL,1991.0,652.0,95.0,0.344,0.42,0.28,1,162,776.0
MON,NL,1991.0,655.0,71.0,0.308,0.357,0.246,0,161,579.0
NYM,NL,1991.0,646.0,77.0,0.317,0.365,0.244,0,161,640.0
NYY,AL,1991.0,777.0,71.0,0.316,0.387,0.256,0,162,674.0
OAK,AL,1991.0,776.0,84.0,0.331,0.389,0.248,0,162,760.0
PHI,NL,1991.0,680.0,78.0,0.303,0.358,0.241,0,162,629.0
PIT,NL,1991.0,632.0,98.0,0.3379999999999999,0.3979999999999999,0.263,1,162,768.0
SDP,NL,1991.0,646.0,84.0,0.31,0.362,0.244,0,162,636.0
SEA,AL,1991.0,674.0,83.0,0.3279999999999999,0.3829999999999999,0.255,0,162,702.0
SFG,NL,1991.0,697.0,75.0,0.309,0.381,0.246,0,162,649.0
STL,NL,1991.0,648.0,84.0,0.322,0.357,0.255,0,162,651.0
TEX,AL,1991.0,814.0,85.0,0.341,0.424,0.27,0,162,829.0
TOR,AL,1991.0,622.0,91.0,0.322,0.4,0.257,1,162,684.0
ATL,NL,1990.0,821.0,65.0,0.311,0.396,0.25,0,162,682.0
BAL,AL,1990.0,698.0,76.0,0.33,0.37,0.245,0,161,669.0
BOS,AL,1990.0,664.0,88.0,0.344,0.395,0.272,1,162,699.0
CAL,AL,1990.0,706.0,80.0,0.3289999999999999,0.391,0.26,0,162,690.0
CHC,NL,1990.0,774.0,77.0,0.314,0.392,0.263,0,162,690.0
CHW,AL,1990.0,633.0,94.0,0.32,0.379,0.258,0,162,682.0
CIN,NL,1990.0,597.0,91.0,0.325,0.3989999999999999,0.265,1,162,693.0
CLE,AL,1990.0,737.0,77.0,0.324,0.391,0.267,0,162,732.0
DET,AL,1990.0,754.0,79.0,0.337,0.409,0.259,0,162,750.0
HOU,NL,1990.0,656.0,75.0,0.313,0.345,0.242,0,162,573.0
KCR,AL,1990.0,709.0,75.0,0.3279999999999999,0.395,0.267,0,161,707.0
LAD,NL,1990.0,685.0,86.0,0.3279999999999999,0.382,0.262,0,162,728.0
MIL,AL,1990.0,760.0,74.0,0.32,0.384,0.256,0,162,732.0
MIN,AL,1990.0,729.0,74.0,0.324,0.385,0.265,0,162,666.0
MON,NL,1990.0,598.0,85.0,0.322,0.37,0.25,0,162,662.0
NYM,NL,1990.0,613.0,91.0,0.3229999999999999,0.408,0.256,0,162,775.0
NYY,AL,1990.0,749.0,67.0,0.3,0.366,0.241,0,162,603.0
OAK,AL,1990.0,570.0,103.0,0.336,0.391,0.254,1,162,733.0
PHI,NL,1990.0,729.0,77.0,0.327,0.363,0.255,0,162,646.0
PIT,NL,1990.0,619.0,95.0,0.33,0.405,0.259,1,162,733.0
SDP,NL,1990.0,673.0,75.0,0.32,0.38,0.257,0,162,673.0
SEA,AL,1990.0,680.0,77.0,0.3329999999999999,0.373,0.259,0,162,640.0
SFG,NL,1990.0,710.0,85.0,0.3229999999999999,0.396,0.262,0,162,719.0
STL,NL,1990.0,698.0,70.0,0.32,0.358,0.256,0,162,599.0
TEX,AL,1990.0,696.0,83.0,0.331,0.376,0.259,0,162,676.0
TOR,AL,1990.0,661.0,86.0,0.3279999999999999,0.419,0.265,0,162,767.0
ATL,NL,1989.0,680.0,63.0,0.298,0.35,0.2339999999999999,0,161,584.0
BAL,AL,1989.0,686.0,87.0,0.326,0.379,0.252,0,162,708.0
BOS,AL,1989.0,735.0,83.0,0.351,0.4029999999999999,0.2769999999999999,0,162,774.0
CAL,AL,1989.0,578.0,91.0,0.311,0.386,0.256,0,162,669.0
CHC,NL,1989.0,623.0,93.0,0.319,0.387,0.261,1,162,702.0
CHW,AL,1989.0,750.0,69.0,0.3279999999999999,0.3829999999999999,0.271,0,161,693.0
CIN,NL,1989.0,691.0,75.0,0.309,0.37,0.247,0,162,632.0
CLE,AL,1989.0,654.0,73.0,0.31,0.365,0.245,0,162,604.0
DET,AL,1989.0,816.0,59.0,0.318,0.351,0.242,0,162,617.0
HOU,NL,1989.0,669.0,86.0,0.306,0.345,0.239,0,162,647.0
KCR,AL,1989.0,635.0,92.0,0.3289999999999999,0.373,0.261,0,162,690.0
LAD,NL,1989.0,536.0,77.0,0.306,0.3389999999999999,0.24,0,160,554.0
MIL,AL,1989.0,679.0,81.0,0.318,0.382,0.259,0,162,707.0
MIN,AL,1989.0,738.0,80.0,0.3339999999999999,0.402,0.276,0,162,740.0
MON,NL,1989.0,630.0,81.0,0.319,0.361,0.247,0,162,632.0
NYM,NL,1989.0,595.0,87.0,0.311,0.385,0.246,0,162,683.0
NYY,AL,1989.0,792.0,74.0,0.331,0.391,0.2689999999999999,0,161,698.0
OAK,AL,1989.0,576.0,99.0,0.331,0.381,0.261,1,162,712.0
PHI,NL,1989.0,735.0,67.0,0.314,0.364,0.243,0,163,629.0
PIT,NL,1989.0,680.0,74.0,0.311,0.359,0.241,0,164,637.0
SDP,NL,1989.0,626.0,89.0,0.319,0.369,0.251,0,162,642.0
SEA,AL,1989.0,728.0,73.0,0.32,0.384,0.257,0,162,694.0
SFG,NL,1989.0,600.0,92.0,0.316,0.39,0.25,1,162,699.0
STL,NL,1989.0,608.0,86.0,0.321,0.363,0.258,0,164,632.0
TEX,AL,1989.0,714.0,83.0,0.326,0.3939999999999999,0.263,0,162,695.0
TOR,AL,1989.0,651.0,89.0,0.3229999999999999,0.3979999999999999,0.26,1,162,731.0
ATL,NL,1988.0,741.0,54.0,0.298,0.348,0.242,0,160,555.0
BAL,AL,1988.0,789.0,54.0,0.305,0.359,0.238,0,161,550.0
BOS,AL,1988.0,689.0,89.0,0.357,0.42,0.283,1,162,813.0
CAL,AL,1988.0,771.0,75.0,0.321,0.385,0.261,0,162,714.0
CHC,NL,1988.0,694.0,77.0,0.31,0.3829999999999999,0.261,0,163,660.0
CHW,AL,1988.0,757.0,71.0,0.303,0.37,0.244,0,161,631.0
CIN,NL,1988.0,596.0,87.0,0.309,0.368,0.246,0,161,641.0
CLE,AL,1988.0,731.0,78.0,0.314,0.387,0.261,0,162,666.0
DET,AL,1988.0,658.0,88.0,0.324,0.3779999999999999,0.25,0,162,703.0
HOU,NL,1988.0,631.0,82.0,0.306,0.351,0.244,0,162,617.0
KCR,AL,1988.0,648.0,84.0,0.321,0.391,0.259,0,161,704.0
LAD,NL,1988.0,544.0,94.0,0.305,0.352,0.248,1,162,628.0
MIL,AL,1988.0,616.0,87.0,0.314,0.375,0.257,0,162,682.0
MIN,AL,1988.0,672.0,91.0,0.34,0.421,0.2739999999999999,0,162,759.0
MON,NL,1988.0,592.0,81.0,0.309,0.373,0.251,0,163,628.0
NYM,NL,1988.0,532.0,100.0,0.325,0.396,0.256,1,160,703.0
NYY,AL,1988.0,748.0,85.0,0.3329999999999999,0.395,0.263,0,161,772.0
OAK,AL,1988.0,620.0,104.0,0.336,0.3989999999999999,0.263,1,162,800.0
PHI,NL,1988.0,734.0,65.0,0.306,0.355,0.239,0,162,597.0
PIT,NL,1988.0,616.0,85.0,0.317,0.369,0.247,0,160,651.0
SDP,NL,1988.0,583.0,83.0,0.31,0.351,0.247,0,161,594.0
SEA,AL,1988.0,744.0,68.0,0.317,0.3979999999999999,0.257,0,161,664.0
SFG,NL,1988.0,626.0,83.0,0.318,0.368,0.248,0,162,670.0
STL,NL,1988.0,633.0,76.0,0.309,0.337,0.249,0,162,578.0
